,Price,Name,Ratings,Beds
0,115.0,Condo in Alexandria,4.2,2 beds
1,79.0,Home in Springfield,4.2,2 beds
2,81.0,Townhouse in Alexandria,4.9146,1 queen bed
3,121.0,Hotel room in Springfield,4.754,2 beds
4,86.0,Guest suite in Springfield,4.8425,1 bed
5,68.0,Private room in Annandale,4.9738,1 queen bed
6,108.0,Guesthouse in Alexandria,4.9685,1 queen bed
7,60.0,Townhouse in Springfield,4.7572,1 queen bed
8,94.0,Guest suite in Springfield,4.973,1 bed
9,95.0,Home in Alexandria,4.2,1 bed
10,194.0,Apartment in Alexandria,4.9433,2 beds
11,90.0,Home in Alexandria,4.86195,1 bed
12,65.0,Private room in Springfield,4.9765,1 bed
13,78.0,Private room in Alexandria,4.8335,1 queen bed
14,85.0,Townhouse in West Springfield,4.836,1 queen bed
15,71.0,Home in Alexandria,4.03,2 beds
16,112.0,Apartment in Springfield,5.01,4 beds
17,110.0,Apartment in Lorton,4.7315,3 beds
18,159.0,Apartment in Alexandria,5.015,1 bed
19,91.0,Condo in Alexandria,5.04,2 beds
20,115.0,Condo in Alexandria,4.2,2 beds
21,79.0,Home in Springfield,4.2,2 beds
22,81.0,Townhouse in Alexandria,4.9146,1 queen bed
23,121.0,Hotel room in Springfield,4.754,2 beds
24,86.0,Guest suite in Springfield,4.8425,1 bed
25,68.0,Private room in Annandale,4.9738,1 queen bed
26,108.0,Guesthouse in Alexandria,4.9685,1 queen bed
27,60.0,Townhouse in Springfield,4.7572,1 queen bed
28,94.0,Guest suite in Springfield,4.973,1 bed
29,95.0,Home in Alexandria,4.2,1 bed
30,194.0,Apartment in Alexandria,4.9433,2 beds
31,90.0,Home in Alexandria,4.86195,1 bed
32,65.0,Private room in Springfield,4.9765,1 bed
33,78.0,Private room in Alexandria,4.8335,1 queen bed
34,85.0,Townhouse in West Springfield,4.836,1 queen bed
35,71.0,Home in Alexandria,4.03,2 beds
36,112.0,Apartment in Springfield,5.01,4 beds
