,id,address,beds,baths,area,price,zestimate,best_deal,hdpData
345,51885118,"7502 Hogarth St, Springfield, VA 22151",3,3.0,1632,"$599,900",649500,-49600,"{'homeInfo': {'zpid': 51885118, 'streetAddress': '7502 Hogarth St', 'zipcode': '22151', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.809155, 'longitude': -77.20414, 'price': 599900.0, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 1632.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 649500, 'rentZestimate': 2600, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 599900.0, 'videoCount': 1, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 447870.0, 'lotAreaValue': 10500.0, 'lotAreaUnit': 'sqft'}}"
111,51906691,"7635 Dunston St, Springfield, VA 22151",5,2.0,1624,"$620,000",664900,-44900,"{'homeInfo': {'zpid': 51906691, 'streetAddress': '7635 Dunston St', 'zipcode': '22151', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.803703, 'longitude': -77.210266, 'price': 620000.0, 'bathrooms': 2.0, 'bedrooms': 5.0, 'livingArea': 1624.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 664900, 'rentZestimate': 2882, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 620000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 523120.0, 'lotAreaValue': 0.3186409550045914, 'lotAreaUnit': 'acres'}}"
70,51937903,"6807 Quebec Ct, Springfield, VA 22152",4,3.0,1454,"$733,000",777000,-44000,"{'homeInfo': {'zpid': 51937903, 'streetAddress': '6807 Quebec Ct', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.76843, 'longitude': -77.22307, 'price': 733000.0, 'datePriceChanged': 1662188400000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 1454.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 777000, 'rentZestimate': 3149, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$44,000 (Sep 3)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 733000.0, 'priceChange': -44000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 527930.0, 'lotAreaValue': 0.27208448117539025, 'lotAreaUnit': 'acres'}}"
58,51967078,"7914 Edinburgh Dr, Springfield, VA 22153",4,4.0,3351,"$699,900",743600,-43700,"{'homeInfo': {'zpid': 51967078, 'streetAddress': '7914 Edinburgh Dr', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.74248, 'longitude': -77.21434, 'price': 699900.0, 'datePriceChanged': 1662447600000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 3351.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 743600, 'rentZestimate': 3449, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$50,000 (Sep 6)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 699900.0, 'priceChange': -50000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 625970.0, 'lotAreaValue': 9498.0, 'lotAreaUnit': 'sqft'}}"
47,51931787,"9120 Steven Irving Ct, Springfield, VA 22153",4,3.0,2304,"$699,900",739006,-39106,"{'homeInfo': {'zpid': 51931787, 'streetAddress': '9120 Steven Irving Ct', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.767662, 'longitude': -77.259895, 'price': 699900.0, 'datePriceChanged': 1661929200000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2304.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 739006, 'rentZestimate': 3099, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$39,100 (Aug 31)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 699900.0, 'priceChange': -39100, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 564560.0, 'lotAreaValue': 0.31747015610651974, 'lotAreaUnit': 'acres'}}"
90,51910031,"6008 Talford Ct, Springfield, VA 22152",3,4.0,1540,"$504,900",540100,-35200,"{'homeInfo': {'zpid': 51910031, 'streetAddress': '6008 Talford Ct', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.789078, 'longitude': -77.22776, 'price': 504900.0, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 1540.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 540100, 'rentZestimate': 2560, 'listing_sub_type': {'is_comingSoon': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 504900.0, 'comingSoonOnMarketDate': 1662681600000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 466180.0, 'lotAreaValue': 1344.0, 'lotAreaUnit': 'sqft'}}"
351,51914808,"6524 Bowie Dr, Springfield, VA 22150",5,4.0,2854,"$699,999",722900,-22901,"{'homeInfo': {'zpid': 51914808, 'streetAddress': '6524 Bowie Dr', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.788307, 'longitude': -77.16924, 'price': 699999.0, 'bathrooms': 4.0, 'bedrooms': 5.0, 'livingArea': 2854.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 722900, 'rentZestimate': 3449, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 699999.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 592670.0, 'lotAreaValue': 0.3700872359963269, 'lotAreaUnit': 'acres'}}"
93,51941003,"7831 Painted Daisy Dr, Springfield, VA 22152",3,4.0,2679,"$649,900",670948,-21048,"{'homeInfo': {'zpid': 51941003, 'streetAddress': '7831 Painted Daisy Dr', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.762756, 'longitude': -77.21301, 'price': 649900.0, 'datePriceChanged': 1662447600000, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 2679.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 670948, 'rentZestimate': 2884, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$20,000 (Sep 6)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 649900.0, 'priceChange': -20000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 518630.0, 'lotAreaValue': 2726.0, 'lotAreaUnit': 'sqft'}}"
44,51941548,"7209 Squirrel Run Ct, Springfield, VA 22152",3,4.0,2248,"$619,000",640000,-21000,"{'homeInfo': {'zpid': 51941548, 'streetAddress': '7209 Squirrel Run Ct', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.758728, 'longitude': -77.22565, 'price': 619000.0, 'datePriceChanged': 1662102000000, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 2248.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 640000, 'rentZestimate': 2499, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$21,000 (Sep 2)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 619000.0, 'priceChange': -21000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 460780.0, 'lotAreaValue': 1760.0, 'lotAreaUnit': 'sqft'}}"
71,51906554,"5790 Rexford Ct UNIT E, Springfield, VA 22152",2,1.0,784,"$250,000",268700,-18700,"{'homeInfo': {'zpid': 51906554, 'streetAddress': '5790 Rexford Ct UNIT E', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.794613, 'longitude': -77.23573, 'price': 250000.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 784.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 268700, 'rentZestimate': 1562, 'listing_sub_type': {'is_openHouse': True, 'is_comingSoon': True}, 'openHouse': 'Sun. 1-3pm', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 250000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1662926400000, 'open_house_end': 1662933600000}]}, 'comingSoonOnMarketDate': 1662508800000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 227200.0, 'unit': 'Unit E'}}"
